Date,Mood,SleepMinutes,ActiveMinutes
2021-01-02,1,321,67
2021-01-03,1,349,12
2021-01-04,2,369,84
2021-01-05,4,490,40
2021-01-06,5,485,89
2021-01-07,5,536,71
2021-01-08,5,481,80
2021-01-09,1,307,43
2021-01-10,1,384,34
2021-01-11,2,353,99
2021-01-12,4,487,81
2021-01-13,4,446,12
2021-01-14,4,430,39
2021-01-15,5,498,88
2021-01-16,4,313,74
2021-01-17,5,497,95
2021-01-18,2,395,90
2021-01-19,4,344,79
2021-01-20,4,456,13
2021-01-21,4,302,73
2021-01-22,5,486,78
2021-01-23,5,392,88
2021-01-24,4,420,35
2021-01-25,5,490,96
2021-01-26,5,386,87
2021-01-27,2,362,48
2021-01-28,1,333,34
2021-01-29,1,353,14
2021-01-30,1,413,10
2021-01-31,1,373,12
2021-02-01,5,526,94
2021-02-02,1,321,67
2021-02-03,1,449,12
2021-02-04,2,469,84
2021-02-05,4,490,40
2021-02-06,5,485,70
2021-02-07,5,436,71
2021-02-08,5,481,80
2021-02-09,1,307,63
2021-02-10,1,384,34
2021-02-11,2,353,99
2021-02-12,4,487,81
2021-02-13,4,446,12
2021-02-14,4,430,39
2021-02-15,5,438,88
2021-02-16,4,313,74
2021-02-17,5,497,95
2021-02-18,2,395,90
2021-02-19,4,344,79
2021-02-20,4,456,13
2021-02-21,4,302,73
2021-02-22,5,486,78
2021-02-23,5,492,88
2021-02-24,4,420,35
2021-02-25,5,490,97
2021-02-26,5,486,87
2021-02-27,2,362,48
2021-02-28,1,373,54
2021-03-01,5,451,72
2021-03-02,5,431,105
2021-03-03,3,370,24
2021-03-04,5,428,86
2021-03-05,4,367,78
2021-03-06,1,419,19
2021-03-07,3,372,25
2021-03-08,3,374,69
2021-03-09,4,364,15
2021-03-10,4,489,40
2021-03-11,3,334,37
2021-03-12,1,471,46
2021-03-13,3,381,88
2021-03-14,2,303,98
2021-03-15,4,493,79
2021-03-16,2,403,41
2021-03-17,5,493,85
2021-03-18,2,401,20
2021-03-19,4,400,53
2021-03-20,4,461,38
2021-03-21,3,400,60
2021-03-22,5,502,60
2021-03-23,5,428,40
2021-03-24,1,390,66
2021-03-25,4,384,64
2021-03-26,2,331,13
2021-03-27,1,311,14
2021-03-28,5,442,99
2021-03-29,3,324,97
2021-03-30,3,439,102
2021-03-31,3,331,71
2021-04-01,4,488,27
2021-04-02,5,486,61
2021-04-03,5,453,63
2021-04-04,3,366,46
2021-04-05,5,425,73
2021-04-06,2,442,22
2021-04-07,4,440,65
2021-04-08,1,322,24
2021-04-09,5,365,89
2021-04-10,4,461,51
2021-04-11,5,470,86
2021-04-12,5,481,99
2021-04-13,2,443,74
2021-04-14,4,434,14
2021-04-15,5,481,82
2021-04-16,2,439,48
2021-04-17,3,302,57
2021-04-18,1,317,65
2021-04-19,1,407,53
2021-04-20,3,304,40
2021-04-21,2,310,81
2021-04-22,3,309,12
2021-04-23,1,439,32
2021-04-24,5,498,100
2021-04-25,1,424,34
2021-04-26,2,444,102
2021-04-27,2,482,18
2021-04-28,5,469,92
2021-04-29,4,325,32
2021-04-30,5,469,98
2021-05-01,1,434,34
2021-05-02,2,424,98
2021-05-03,1,335,32
2021-05-04,4,495,12
2021-05-05,4,301,41
2021-05-06,4,356,43
2021-05-07,4,389,21
2021-05-08,3,395,56
2021-05-09,3,349,56
2021-05-10,5,464,91
2021-05-11,1,397,56
2021-05-12,5,472,117
2021-05-13,1,401,26
2021-05-14,5,378,54
2021-05-15,5,475,109
2021-05-16,1,322,24
2021-05-17,2,416,16
2021-05-18,4,361,77
2021-05-19,5,471,76
2021-05-20,2,485,29
2021-05-21,4,425,63
2021-05-22,2,354,102
2021-05-23,1,432,17
2021-05-24,2,422,40
2021-05-25,2,417,12
2021-05-26,5,396,87
2021-05-27,4,441,48
2021-05-28,5,477,83
2021-05-29,4,305,95
2021-05-30,2,332,94
2021-05-31,5,509,74
2021-06-01,3,464,59
2021-06-02,1,381,39
2021-06-03,2,396,24
2021-06-04,1,351,20
2021-06-05,2,439,78
2021-06-06,1,397,32
2021-06-07,1,486,57
2021-06-08,1,332,12
2021-06-09,5,440,82
2021-06-10,5,426,81
2021-06-11,5,499,91
2021-06-12,2,335,40
2021-06-13,3,362,40
2021-06-14,3,401,16
2021-06-15,4,406,42
2021-06-16,3,481,27
2021-06-17,5,426,93
2021-06-18,4,358,22
2021-06-19,1,313,14
2021-06-20,5,417,99
2021-06-21,5,462,95
2021-06-22,5,487,64
2021-06-23,1,338,11
2021-06-24,2,412,26
2021-06-25,3,496,59
2021-06-26,2,385,72
2021-06-27,4,311,46
2021-06-28,4,464,71
2021-06-29,3,485,44
2021-06-30,5,480,58
2021-07-01,4,329,64
2021-07-02,4,410,37
2021-07-03,3,303,28
2021-07-04,5,446,69
2021-07-05,5,436,79
2021-07-06,2,488,13
2021-07-07,3,335,85
2021-07-08,5,469,73
2021-07-09,1,352,25
2021-07-10,2,372,44
2021-07-11,5,443,76
2021-07-12,5,413,98
2021-07-13,3,392,40
2021-07-14,5,499,68
2021-07-15,1,313,40
2021-07-16,3,439,29
2021-07-17,1,377,25
2021-07-18,3,411,20
2021-07-19,3,446,27
2021-07-20,5,492,86
2021-07-21,2,378,102
2021-07-22,2,405,13
2021-07-23,2,308,57
2021-07-24,1,410,28
2021-07-25,3,406,32
2021-07-26,2,423,62
2021-07-27,1,387,24
2021-07-28,4,362,50
2021-07-29,5,527,68
2021-07-30,3,374,22
2021-07-31,3,365,17
2021-08-01,2,466,58
2021-08-02,2,418,23
2021-08-03,5,450,68
2021-08-04,4,335,74
2021-08-05,5,448,80
2021-08-06,1,323,41
2021-08-07,5,419,96
2021-08-08,3,424,86
